Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1,""1uF"",""C_0402_1005Metric"",165.700000,-59.980000,90.000000,top"
"C2,""0.1uF"",""C_0402_1005Metric"",171.750000,-71.250000,-90.000000,top"
"C3,""0.1uF"",""C_0402_1005Metric"",164.520000,-65.250000,180.000000,top"
"C4,""0.1uF"",""C_0402_1005Metric"",173.750000,-58.730000,90.000000,top"
"C5,""0.1uF"",""C_0402_1005Metric"",174.750000,-60.250000,0.000000,top"
"C6,""0.1uF"",""C_0402_1005Metric"",167.850000,-54.250000,0.000000,top"
"C7,""0.1uF"",""C_0402_1005Metric"",176.500000,-65.750000,-90.000000,top"
"C8,""0.1uF"",""C_0402_1005Metric"",170.800000,-55.000000,0.000000,top"
"C9,""0.1uF"",""C_0402_1005Metric"",174.750000,-58.725000,90.000000,top"
"C10,""1uF"",""C_0402_1005Metric"",172.750000,-71.250000,-90.000000,top"
"C11,""0.1uF"",""C_0402_1005Metric"",172.750000,-58.730000,90.000000,top"
"C12,""0.1uF"",""C_0402_1005Metric"",170.800000,-56.000000,0.000000,top"
"C13,""10uF"",""C_0603_1608Metric"",166.000000,-44.025000,-90.000000,top"
"C14,""10uF"",""C_0603_1608Metric"",167.500000,-49.500000,180.000000,top"
"C15,""33pF"",""C_0603_1608Metric"",165.750000,-72.525000,-90.000000,top"
"C16,""33pF"",""C_0603_1608Metric"",172.000000,-73.775000,90.000000,top"
"C17,""0.1uF"",""C_0402_1005Metric"",170.800000,-54.010000,0.000000,top"
"J1,""USB_C_Receptacle_USB2.0_14P"",""USB_C_Receptacle_HRO_TYPE-C-31-M-12"",170.000000,-37.000000,180.000000,top"
"J2,""Conn_01x20"",""PinHeader_1x20_P2.54mm_Vertical"",161.110000,-35.870000,0.000000,top"
"J3,""Conn_01x20"",""PinHeader_1x20_P2.54mm_Vertical"",178.890000,-35.870000,0.000000,top"
"J4,""Conn_01x03"",""PinHeader_1x03_P2.54mm_Vertical"",167.460000,-83.890000,90.000000,top"
"R1,""5.1K"",""R_0402_1005Metric"",171.500000,-43.300000,-90.000000,top"
"R2,""5.1K"",""R_0402_1005Metric"",168.700000,-44.010000,-90.000000,top"
"R3,""27"",""R_0402_1005Metric"",170.700000,-58.510000,-90.000000,top"
"R4,""27"",""R_0402_1005Metric"",171.700000,-58.510000,-90.000000,top"
"R5,""1K"",""R_0402_1005Metric"",170.000000,-70.000000,180.000000,top"
"R6,""10K"",""R_0402_1005Metric"",166.750000,-53.000000,0.000000,top"
"R7,""1K"",""R_0402_1005Metric"",165.840000,-54.250000,0.000000,top"
"SW1,""SW_Push"",""SW_Push_SPST_NO_Alps_SKRK"",173.500000,-47.500000,-90.000000,top"
"U1,""RP2040"",""QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm"",170.000000,-64.000000,0.000000,top"
"U3,""W25Q128JVS"",""Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm"",166.825000,-56.250000,0.000000,top"
"U4,""MCP1700x-330xxTT"",""SOT-23"",167.500000,-46.687500,90.000000,top"
"Y1,""12 MHz"",""Crystal_SMD_3225-4Pin_3.2x2.5mm"",168.900000,-72.350000,180.000000,top"
